name,sourceid
EPIC Energy Limited,55491
EPSOM Properties Limited,55493
ESS DEE Aluminium Limited,55495
ETC Networks Limited,55498
EZ-Comm Trade Technologies Limited,55501
East Coast Steel Limited,55503
Eastern Gases Limited,55506
Eastern Silk Industries Limited,55508
Eastern Sugar & Industries Limited,55511
Eastern Treads Limited,55514
Easun Reyrolle Limited,55516
Easy Fincorp Limited,55519
Ecoboard Industries Limited,55521
Ecoplast Limited,55524
Edelweiss Capital Limited,55526
Edserv Softsystems Limited,55529
Educomp Solutions Limited,55532
Eicher Motors Limited,55535
Eimco Elecon (India) Limited,55538
Elango Industries Limited,55541
Elantas Beck India Limited,55543
Elcid Investments Limited,55546
Eldeco Housing & Industries Limited,55548
Elder Health Care Limited,55550
Elder Pharmaceuticals Limited,55552
Elder Projects Limited,55555
Elecon Engineering Company Limited,55557
Electrosteel Castings Limited,55560
Electrotherm (India) Limited,55563
Elegant Floriculture & Agrotech (I) Limited,55566
Elegant Marbles & Grani Industries Limited,55568
Elgi Equipments Limited,55570
Elgi Industrial Products Limited,55573
Elgi Rubber Company Limited,55575
Ellenbarrie Industrial Gases Limited,55578
Ellora Paper Mills Limited,55580
Elnet Technologies Limited,55582
Elpro International Limited,55585
Ema India Limited,55588
Emami Limited,55590
Emco Limited,55593
Emkay Global Financial Services Limited,55596
Emmbi Polyarns Limited,55599
Emmessar Biotech and Nutrition Limited,55602
Emmsons International Limited,55604
Empee Distilleries Limited,55606
Empee Sugars & Chemicals Limited,55609
Empire Industries Limited,55612
Empower Industries India Limited,55614
Emtex Industries (India) Limited,55616
Enbee Trade & Finance Limited,55619
Encore Software Limited,55621
Energy Development Company Limited,55623
Engineers India Limited,55626
English Indian Clays Limited,55629
Enkei Castalloy Limited,55631
Ennore Coke Limited,55634
Enrich Industries Limited,55636
Ensa Steel Industries Limited,55638
Enso Secutrack Limited,55640
Entegra Limited,55642
Enterprise International Limited,55645
Entertainment Network (India) Limited,55647
Envair Electrodyne Limited,55650
Epic Enzymes Pharmaceuticals & Industrial Chemicals Limited,55653
Era E-Zone India Limited,55655
Era Infra Engineering Limited,55657
Esaar (India) Limited,55660
Esab India Limited,55662
Escorts Finance Limited,55665
Escorts Limited,55668
